Welfare,DegY1.5°C,DegY2°C,NPV Damages,NPV Abatement,NPV Adaptation,Type,Welfare_val,DegY1.5°C_val,DegY2°C_val,NPV Damages_val,NPV Abatement_val,NPV Adaptation_val
-504023.4645968066,0.74,153.1904106027033,329.85350115569645,39.48213762802478,112.86826444910703,DPS,-505297.68351529574,0.799,174.63035135646803,372.1159025592732,45.05793463746757,113.90174674712168
-504495.7663702114,0.69,328.1501224415395,369.62148992861455,39.36992813309745,67.37224480404441,DPS,-505954.79924843507,0.758,329.7441709434111,407.5769485929289,44.40520891211172,67.97479384401773
-506374.26109430374,0.89,133.9854936039902,388.0345984468757,29.99976380787892,46.21566718641429,DPS,-508083.5885930984,0.932,153.64924120716086,415.3747993868488,34.14751543501764,46.93232278197187
-502624.5036641834,0.95,548.2811479315001,439.3773529519695,9.73527449425214,49.485959377163546,DPS,-503986.1991760022,0.969,561.9815903636786,483.7812655470338,10.83130851549946,51.4361543161996
-504241.4694479543,0.7,272.69992346428194,358.1412579029158,39.393709986367234,97.36098963323762,DPS,-505555.5938603781,0.767,277.134794753906,401.52274038795554,45.194085758797655,99.04779617457417
-504883.5136495063,0.6,95.06943850920514,299.61386166342396,76.83780425603983,109.12604809163737,DPS,-506321.3495997781,0.666,107.2064769350527,331.1020589210727,84.03361199758298,110.6219071372411
-502931.9586530886,0.95,603.4422988570159,546.055595702472,9.894087129734663,19.990712380996733,DPS,-504608.0007579298,0.977,622.4932522484922,579.6185884339724,10.739309923902415,21.21869067257881
-503731.54235335864,0.7,163.35458737593135,470.7120358131583,48.74037091754824,9.998585965762839,DPS,-505644.8949979413,0.772,179.72630313585174,488.0943541349224,53.803082347817885,10.923911685696854
-500084.083722397,0.65,24.7381665332699,328.5709742237806,69.80395216951834,76.57290831187407,DPS,-501388.3985169025,0.735,31.402708316675174,361.08013112312653,79.53482553548429,80.99732896562327
-501754.9605354124,0.74,340.735404042334,382.49507111240877,29.535430417548344,64.6785790022513,DPS,-503366.19450294046,0.81,340.33268363933814,418.0709182251906,33.811074093616355,66.08906255977239
-502162.4794636368,0.87,309.6959844597092,349.6616762249017,19.468034852207623,88.02575032213412,DPS,-503350.05747141916,0.908,321.31808203432666,389.80723250611936,22.515786687779205,90.78793829177754
-500910.6702784885,0.73,189.1050548115372,409.4044328909656,39.34381581374327,19.318651612977657,DPS,-502788.9289415596,0.802,202.56869762276386,427.6313527828793,43.32048474287119,20.414887765993573
-504032.15943185793,0.95,174.56239364129135,377.9263444834302,19.953779342811252,64.84728310026684,DPS,-505661.25233931147,0.973,194.61941416128283,409.3769053421884,22.867875148519897,65.83688280078402
-504024.73488289124,0.87,333.2334168256768,378.18873117720693,19.809696619077595,59.72868077465114,DPS,-505383.4546469617,0.899,345.4133033338792,414.68804324258406,22.83598728496352,61.5689912088447
-504020.217800707,0.79,52.752852171360146,389.2652382815164,49.94642319429494,19.82920719823473,DPS,-506036.47591830377,0.84,59.9105326640971,400.60673548867186,56.399479459859904,21.002982213465
-500944.12045869173,0.81,128.05900594195188,319.9597403270078,29.957331872981214,117.15910206393738,DPS,-502152.1004460162,0.876,141.38426725443367,359.22466624830133,34.45106550069666,120.82655764238721
-504638.52168362343,0.82,173.35440970450315,426.6243756573693,29.843431297523143,27.366394457114346,DPS,-506414.2829230566,0.867,184.90286247245132,451.6391527353457,33.991001000710575,28.8810971954035
-500909.3300731786,0.81,179.64289300222316,349.80657729914435,28.49020653101354,49.4128987586847,DPS,-502348.1201986717,0.865,193.16848231360828,380.77348475637007,32.512094171564776,50.950421510343666
-505478.52163081715,0.89,329.38505146404975,449.66055048019587,19.91703261578927,48.84379709019016,DPS,-506798.45124603476,0.921,342.65697708991075,494.54451630762287,22.84053069516933,51.15887489036055
-506209.4526654878,0.89,145.68244820393537,359.9295521183336,29.96991806301155,76.80958852187254,DPS,-507701.70568752487,0.936,166.3302004472453,392.4133590883083,34.153371099490954,78.03139382207664
-504865.62765527645,0.6,28.72863727686351,279.9991480295666,89.48265321932459,102.8501818418626,DPS,-506316.52427257085,0.663,35.19428677596567,307.9389115659679,99.93069294552987,105.03873390520575
