Welfare,DegY1.5°C,DegY2°C,NPV Damages,NPV Abatement,NPV Adaptation,Type,Welfare_val,DegY1.5°C_val,DegY2°C_val,NPV Damages_val,NPV Abatement_val,NPV Adaptation_val
-504184.4035834966,0.64,43.6178222745743,319.7186472926712,69.86586160510835,68.84759308028883,SO,-505538.6027910803,0.728,54.297130147724125,351.5194940024884,97.07772160190495,72.43395678643058
-503132.4806268874,0.61,46.93692913914214,309.3502744185987,69.3689159693926,65.3582867330153,SO,-504951.1876489499,0.72,59.00939911850994,343.0529179959221,93.79475045773049,68.02918480615456
-504022.2642464572,0.54,26.88830902240627,299.8177977943849,139.90435441768182,66.60866033195205,SO,-483081.81149656785,0.591,40.81516882004215,313.5369215407286,185.10220184401967,65.16132275561681
-501238.46317797614,0.62,44.13440532203081,289.8167802917459,68.39999696033809,131.1055707390554,SO,-502493.50605128764,0.722,56.14749171323836,329.3449956030344,105.4270652343421,134.09282725494455
-502340.4125485784,0.6,34.69523601687886,315.4088372153559,79.95365582182933,35.08875524712915,SO,-503494.88666360365,0.66,44.79687502639316,342.9961838102612,118.77097538714911,38.620857846427214
-502928.24008462415,0.59,29.839754507561643,309.7601993169988,89.18058081668661,47.023716374816125,SO,-504121.5322267732,0.632,39.99321054806596,338.72445617263844,135.294750782313,49.41044021669409
-501986.8940150074,0.6,34.63752367058217,289.73212081421246,79.28818346593349,68.88958224695376,SO,-502007.57690313045,0.66,45.085751291448105,322.3919580644269,124.97883005326189,72.82672277000934
-503962.3124645863,0.54,24.83034152111216,303.4739492928164,139.88477646368335,65.07156062106877,SO,-480081.46966130275,0.591,40.084438642749774,316.29460125998463,194.77850492573282,63.19453111143644
-500500.87245512736,0.56,28.39583284215155,319.1569173373788,97.57676334037086,29.46004753689405,SO,-497127.61415515776,0.605,39.41320204536432,339.965899852558,156.91396393166755,31.44231503684945
-504172.0947870832,0.54,27.778708749157445,309.4173136917483,139.26964321787082,56.76271973358553,SO,-483169.062125353,0.592,41.64129825468718,321.15591247071956,186.23071226332098,56.004529086556715
-503721.2320120814,0.54,27.870917810153927,299.9702107844116,127.40421596422942,65.45902032033386,SO,-482920.04813549673,0.592,41.74861688256107,315.31782365999527,186.6073250362147,64.62012416483914
-503383.23396832345,0.62,44.22598814587991,308.2557501707722,68.02723004017403,86.09228400087632,SO,-505029.6736728858,0.733,56.23497215798092,344.15144042986117,98.05501907081762,88.34780832145879
-504076.9451073283,0.64,43.58954356492103,337.380088482889,69.94170865433453,49.21258872568092,SO,-505590.169549385,0.732,54.7324350176698,365.17633313548214,97.65343522297589,50.236585656413936
-503360.097707345,0.63,42.94366279409714,329.5333695338187,68.81183310591746,47.09229862187683,SO,-504898.3080224339,0.73,53.94835817771283,357.7945388341803,95.82558473087765,48.61348311042541
-504742.8383393647,0.6,36.11528090016544,339.4532980059167,88.23814398151627,47.95190460731691,SO,-505949.1139575468,0.668,46.51421764553143,367.79983948645406,120.1936271113753,52.045555910333555
-504064.51290789753,0.61,38.64539093845261,319.0372116532733,79.2581924053425,48.88562872671257,SO,-504869.10344802,0.672,49.35166877379412,349.79033353922773,122.32046562787177,53.10185995343823
-504016.59154581366,0.58,29.95816768433169,299.6969755080916,98.09690817496268,70.87376231022117,SO,-503252.34156378306,0.623,39.59849778839058,332.74732023083044,142.48592524137683,78.32532656637646
-504257.01394148247,0.61,37.91867615800613,321.2290375651001,79.96078091368227,46.73865899016195,SO,-505102.4268808818,0.673,48.61605980684821,351.4508749735029,122.06377793740054,51.04071727615401
-503543.915988745,0.58,29.987729688613417,329.5830457363998,98.7698360701577,37.267687803152334,SO,-497411.14334091323,0.625,40.76871470713849,347.4507066615618,152.47121371380797,38.87568947579966
-502886.47181098064,0.59,32.681732452003295,288.9732624004698,89.97230324662773,75.23210822384608,SO,-503174.98935627664,0.64,42.71344863173531,324.23540268706904,136.12261169648184,83.87106410555955
-503749.19364985375,0.6,34.62203569062812,314.13297090216054,79.50374210224199,58.25512266300506,SO,-505258.5543097512,0.666,45.76985327619718,348.6567093318781,121.7071742629829,62.348939939757194
-501840.50504250417,0.58,29.231777234875448,295.5332293847369,89.97474207080391,49.23824201828132,SO,-502224.50741274224,0.622,39.39517115517249,325.72366851793515,139.92516822911654,52.23557242165452
-503124.12653986,0.59,29.950337901891817,312.68169695401923,89.4363002959428,46.26852807092924,SO,-504392.9658492305,0.634,40.121746175057794,341.45755864962837,135.01251860154693,48.46819628550214
-503767.29923767305,0.58,32.42867260356483,289.9680280718125,105.2229727296247,91.57163190193396,SO,-501744.12467713084,0.617,41.62315568158247,320.7373661252002,144.39931976641722,95.0076248459982
-502489.5168610667,0.61,34.70326840141683,311.3792497616412,79.7311642710652,37.42702107835035,SO,-503622.8363770248,0.66,44.69019407437461,339.52425818802584,118.58351013761545,40.99899760646018
-504133.4743763009,0.6,34.770714305697,319.9564888743264,84.84628945745882,46.33687887926566,SO,-504976.9031468164,0.659,45.120683198701016,349.7035587807827,127.36901672262641,50.50145938305686
-503238.45590144425,0.6,34.27781331951551,299.47354531365863,88.55791366407206,59.37281860290366,SO,-502725.6116525129,0.646,43.92263436617986,328.5030929894288,134.32342476384943,61.31774817094091
-500619.86517938913,0.61,40.04145562558244,330.21780050673306,79.59443711550924,28.346878561110103,SO,-502009.8989375407,0.675,51.575625979854095,356.3307419937306,121.25423123410356,33.48389517909629
-502341.2515638716,0.6,36.635372402170304,307.2054219812846,87.20520836701682,36.962973723230846,SO,-503454.8843254005,0.656,46.645866152480345,335.6406654127245,125.10914066104066,41.12460994907114
