,TCR,ECS,TYPE,TCR [°C],ECS [°C]
84,1.4768874488754322,2.9505562089130843,FAIR,,
85,1.8125265338212713,3.576467046080104,FAIR,,
86,1.8028547590639334,2.570956495362089,FAIR,,
87,1.7320605461509917,3.125781877867372,FAIR,,
88,2.040927056413351,3.856757342740999,FAIR,,
89,2.2252656921401677,4.6815331094747314,FAIR,,
90,2.2553636571231648,4.404775870562263,FAIR,,
91,1.4265237772878703,2.6363339985502976,FAIR,,
92,1.4696233719347793,2.641255713275651,FAIR,,
93,2.0099457877970193,3.7157618294580548,FAIR,,
94,1.770994302603395,3.187986255007697,FAIR,,
95,2.4821570441951497,3.909798623457432,FAIR,,
96,1.4220100877685007,2.880181419839353,FAIR,,
97,1.5163893084598246,2.386977437259733,FAIR,,
98,1.6613517695125284,2.744108168751105,FAIR,,
99,1.8548860334025747,3.6000247155309455,FAIR,,
100,1.8288007657155207,2.6206708891604795,FAIR,,
101,1.5100965876774863,2.8967275118105893,FAIR,,
102,1.889186199586114,3.2887682856563893,FAIR,,
103,2.619537050586561,4.3178735234564956,FAIR,,
104,1.6665021146591423,3.2028371110847296,FAIR,,
105,1.6856222069307818,3.295269744599797,FAIR,,
106,1.9776295121411522,3.680148828465525,FAIR,,
107,2.3789787827058038,3.3538823694452913,FAIR,,
108,1.8570360090212084,2.8927560977413065,FAIR,,
109,1.508369812692994,2.4951359424541484,FAIR,,
110,1.8433696928661345,3.4486576725820575,FAIR,,
111,1.5389039933623103,2.1610945867831894,FAIR,,
112,1.6027944356637522,3.1501838477426194,FAIR,,
113,1.6560657334129028,3.2091734899749054,FAIR,,
114,1.6705106822007012,3.460574106661161,FAIR,,
115,2.180231052584058,2.7549078708722425,FAIR,,
116,1.5209468162283861,2.5956607843809905,FAIR,,
117,1.9412198618508059,3.2143843274523722,FAIR,,
118,1.305016826235185,2.2981311951872123,FAIR,,
119,1.6132756531449555,3.025177569340956,FAIR,,
120,2.1836817762102694,4.262090811093672,FAIR,,
121,1.489556024281876,2.1031152589804756,FAIR,,
122,1.988542560377978,3.7463110414481493,FAIR,,
123,2.077961519621714,3.5098609382100174,FAIR,,
124,1.144734442782329,2.727412645329016,FAIR,,
125,1.90264830972933,2.886205419746368,FAIR,,
126,1.2362370130764762,2.4714043451428798,FAIR,,
127,3.563968790565328,7.334116445966906,FAIR,,
128,1.8091269734698892,3.0003450092743615,FAIR,,
129,1.9406613528599346,3.6245743323809454,FAIR,,
130,1.4767567867273057,2.207065237822122,FAIR,,
131,1.8123648438270397,3.578464841039956,FAIR,,
132,1.637060992092736,2.8128564143408212,FAIR,,
133,2.073624999700905,4.0555307502009645,FAIR,,
134,1.4316004902818769,2.9077770183675296,FAIR,,
135,2.5043871002118547,3.9279107110655636,FAIR,,
136,2.272731811394485,3.463580735768281,FAIR,,
137,1.705592550640855,3.837660446466969,FAIR,,
